iter	Passed	Remaining
970	58346	1742
971	58389	1682
972	58434	1621
973	58479	1561
974	58525	1500
975	58569	1440
976	58614	1379
977	58656	1319
978	58701	1259
979	58743	1198
980	58786	1138
981	58830	1078
982	58874	1018
983	58917	958
984	58959	897
985	59003	837
986	59046	777
987	59091	717
988	59163	658
989	59215	598
990	59261	538
991	59305	478
992	59350	418
993	59399	358
994	59443	298
995	59487	238
996	59530	179
997	59572	119
998	59618	59
999	59661	0
